Models,Precision,Recall,F1_score
qwen3_8B_comprehensive_1,0.5718864468864469,0.5634615384615385,0.5633241758241758
qwen3_8B_comprehensive_2,0.5971153846153846,0.5778846153846154,0.5823717948717949
qwen3_8B_comprehensive_3,0.5290750915750916,0.519551282051282,0.5134615384615384
qwen3_8B_comprehensive_4,0.5873397435897436,0.5948717948717949,0.584516765285996
qwen3_8B_comprehensive_5,0.5900641025641026,0.5955128205128205,0.5817460317460317
qwen3_8B_targeted_1,0.7035256410256411,0.7423076923076923,0.7045371295371295
qwen3_8B_targeted_2,0.727014652014652,0.8006410256410257,0.7408730158730159
qwen3_8B_targeted_3,0.7264652014652015,0.7766025641025641,0.7328962703962704
qwen3_8B_targeted_4,0.7579441391941392,0.8012820512820512,0.7545420391574237
qwen3_8B_targeted_5,0.7233974358974359,0.7663461538461539,0.7217227217227217
qwen3_8B_targeted_sft_1,0.7422619047619048,0.7387820512820512,0.722039072039072
qwen3_8B_targeted_sft_2,0.8541666666666666,0.8759615384615385,0.8418248418248419
qwen3_8B_targeted_sft_3,0.7791666666666667,0.7958333333333333,0.7664529914529914
qwen3_8B_targeted_sft_4,0.8269230769230769,0.8471153846153846,0.8199841824841825
qwen3_8B_targeted_sft_5,0.7935897435897435,0.7823717948717948,0.7645604395604396
qwq32B_comprehensive_modified_1,0.8958333333333334,0.8823717948717948,0.8804237429237429
qwq32B_comprehensive_modified_2,0.8413461538461539,0.8496794871794872,0.8351648351648352
qwq32B_comprehensive_modified_3,0.8791666666666667,0.867948717948718,0.8616605616605616
qwq32B_comprehensive_modified_4,0.842948717948718,0.8592948717948717,0.8392440892440892
qwq32B_comprehensive_modified_5,0.8381410256410257,0.8182692307692307,0.8168248418248418
qwq32B_comprehensive_modified_sft_1,0.8477564102564104,0.7865384615384615,0.8024725274725275
qwq32B_comprehensive_modified_sft_2,0.8721153846153846,0.8144230769230769,0.8317765567765568
qwq32B_comprehensive_modified_sft_3,0.8621794871794872,0.7923076923076924,0.8164835164835165
qwq32B_comprehensive_modified_sft_4,0.8237179487179488,0.7503205128205128,0.7752289377289378
qwq32B_comprehensive_modified_sft_5,0.8253205128205128,0.7711538461538462,0.7880494505494505
